user_id,segment,total_sessions,avg_session_duration,min_session_duration,max_session_duration,std_session_duration,avg_events_per_session,avg_pages_per_session,avg_categories_diversity,avg_article_views,avg_article_clicks,avg_video_plays,avg_searches,total_newsletter_signups,total_ad_clicks,avg_engagement_score,has_newsletter,newsletter_signup_rate,brand_bild_ratio,brand_welt_ratio,brand_bi_ratio,brand_politico_ratio,brand_sport_bild_ratio,session_frequency,engagement_per_session,engagement_per_minute,content_diversity_score,brand_loyalty_score,click_through_rate,video_engagement_rate,recency_score,activity_score,days_active,days_since_last_session,active_today,active_last_7_days,active_last_30_days,subscription_enterprise,subscription_free,subscription_premium,subscription_pro,segment_casual,segment_engaged,segment_new_visitor,segment_power_user,segment_returning,segment_subscriber,device_app,device_desktop,device_mobile,device_smart_tv,device_tablet,country_AT,country_AU,country_CH,country_DE,country_EU,country_FR,country_UK,country_US,churned,converted,high_value_conversion
142,1,198,64.0,64,64,0.0,7.0,7.0,4.0,4.0,3.0,0.0,0.0,0,0,32.0,0,0.0,0.0,1.0,0.0,0.0,0.0,198.0,32.0,15.483870967741938,4.0,1.0,0.6,0.0,0.0003326679973386,0.0329341317365269,0,3005,1,1,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1,0,0
138,0,198,170.0,170,170,0.0,16.0,16.0,5.0,8.0,4.0,0.0,1.0,0,396,54.0,0,0.0,1.0,0.0,0.0,0.0,0.0,198.0,54.0,14.086956521739127,5.0,1.0,0.4444444444444444,0.0,0.0003313452617627,0.0328031809145129,0,3017,1,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0
137,1,198,135.0,135,135,0.0,9.0,9.0,4.0,7.0,0.0,1.0,1.0,0,0,36.0,0,0.0,0.0,0.0,0.0,1.0,0.0,198.0,36.0,11.076923076923077,4.0,1.0,0.0,0.0050251256281407,0.0003320053120849,0.0328685258964143,0,3011,1,1,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,0,0
141,1,198,112.0,112,112,0.0,8.0,8.0,4.0,6.0,1.0,0.0,1.0,0,0,31.0,0,0.0,0.0,0.0,0.0,1.0,0.0,198.0,31.0,10.813953488372093,4.0,1.0,0.1428571428571428,0.0,0.0003330003330003,0.0329670329670329,0,3002,1,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,0,0
136,0,198,196.0,196,196,0.0,11.0,11.0,5.0,6.0,4.0,0.0,0.0,0,0,45.0,0,0.0,1.0,0.0,0.0,0.0,0.0,198.0,45.0,10.546875,5.0,1.0,0.5714285714285714,0.0,0.0003335557038025,0.0330220146764509,0,2997,1,1,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,1,0,0
140,1,198,99.0,99,99,0.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0,198,26.0,0,0.0,0.0,0.0,1.0,0.0,0.0,198.0,26.0,9.81132075471698,5.0,1.0,0.0,0.0,0.0003317850033178,0.0328467153284671,0,3013,1,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1,0,0
139,1,198,34.0,34,34,0.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,0,0,15.0,0,0.0,0.0,0.0,1.0,0.0,0.0,198.0,15.0,9.574468085106384,3.0,1.0,0.5,0.0,0.0003314550878355,0.0328140536957242,0,3016,1,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
145,0,197,143.0,143,143,0.0,11.0,11.0,5.0,9.0,2.0,0.0,0.0,0,0,45.0,0,0.0,1.0,0.0,0.0,0.0,0.0,197.0,45.0,13.300492610837438,5.0,1.0,0.2,0.0,0.0003331112591605,0.0328114590273151,0,3001,1,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,0,0
149,1,197,26.0,26,26,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0,8.0,0,0.0,0.0,0.0,1.0,0.0,0.0,197.0,8.0,5.5813953488372094,1.0,1.0,0.0,0.0,0.0003367003367003,0.0331649831649831,0,2969,1,1,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0,0
154,1,197,98.0,98,98,0.0,7.0,7.0,5.0,4.0,1.0,2.0,0.0,0,0,38.0,0,0.0,0.0,0.0,0.0,0.0,1.0,197.0,38.0,14.430379746835444,5.0,1.0,0.2,0.0101010101010101,0.0003356831151393,0.0330647868412218,0,2978,1,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0
