user_id,total_sessions,avg_session_duration,min_session_duration,max_session_duration,std_session_duration,avg_events_per_session,avg_pages_per_session,avg_categories_diversity,avg_article_views,avg_article_clicks,avg_video_plays,avg_searches,total_newsletter_signups,total_ad_clicks,avg_engagement_score,has_newsletter,newsletter_signup_rate,brand_bild_ratio,brand_welt_ratio,brand_bi_ratio,brand_politico_ratio,brand_sport_bild_ratio,session_frequency,engagement_per_session,engagement_per_minute,content_diversity_score,brand_loyalty_score,click_through_rate,video_engagement_rate,recency_score,activity_score,days_active,days_since_last_session,active_today,active_last_7_days,active_last_30_days,subscription_enterprise,subscription_free,subscription_premium,subscription_pro,segment_casual,segment_engaged,segment_new_visitor,segment_power_user,segment_returning,segment_subscriber,device_app,device_desktop,device_mobile,device_smart_tv,device_tablet,country_AT,country_AU,country_CH,country_DE,country_EU,country_FR,country_UK,country_US,churned,converted,high_value_conversion
142,198,64.0,64,64,0.0,7.0,7.0,4.0,4.0,3.0,0.0,0.0,0,0,32.0,0,0.0,0.0,1.0,0.0,0.0,0.0,198.0,32.0,15.483870967741938,4.0,1.0,0.6,0.0,0.00033266799733865603,0.03293413173652695,0,3005,1,1,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1,0,0
138,198,170.0,170,170,0.0,16.0,16.0,5.0,8.0,4.0,0.0,1.0,0,396,54.0,0,0.0,1.0,0.0,0.0,0.0,0.0,198.0,54.0,14.086956521739129,5.0,1.0,0.4444444444444444,0.0,0.0003313452617627568,0.032803180914512925,0,3017,1,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0
137,198,135.0,135,135,0.0,9.0,9.0,4.0,7.0,0.0,1.0,1.0,0,0,36.0,0,0.0,0.0,0.0,0.0,1.0,0.0,198.0,36.0,11.076923076923077,4.0,1.0,0.0,0.005025125628140704,0.00033200531208499334,0.03286852589641434,0,3011,1,1,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,0,0
141,198,112.0,112,112,0.0,8.0,8.0,4.0,6.0,1.0,0.0,1.0,0,0,31.0,0,0.0,0.0,0.0,0.0,1.0,0.0,198.0,31.0,10.813953488372093,4.0,1.0,0.14285714285714285,0.0,0.000333000333000333,0.03296703296703297,0,3002,1,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,0,0
136,198,196.0,196,196,0.0,11.0,11.0,5.0,6.0,4.0,0.0,0.0,0,0,45.0,0,0.0,1.0,0.0,0.0,0.0,0.0,198.0,45.0,10.546875,5.0,1.0,0.5714285714285714,0.0,0.000333555703802535,0.03302201467645097,0,2997,1,1,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,1,0,0
140,198,99.0,99,99,0.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0,198,26.0,0,0.0,0.0,0.0,1.0,0.0,0.0,198.0,26.0,9.81132075471698,5.0,1.0,0.0,0.0,0.00033178500331785003,0.032846715328467155,0,3013,1,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1,0,0
139,198,34.0,34,34,0.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,0,0,15.0,0,0.0,0.0,0.0,1.0,0.0,0.0,198.0,15.0,9.574468085106384,3.0,1.0,0.5,0.0,0.00033145508783559825,0.032814053695724224,0,3016,1,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
145,197,143.0,143,143,0.0,11.0,11.0,5.0,9.0,2.0,0.0,0.0,0,0,45.0,0,0.0,1.0,0.0,0.0,0.0,0.0,197.0,45.0,13.300492610837438,5.0,1.0,0.2,0.0,0.00033311125916055963,0.032811459027315124,0,3001,1,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,0,0
149,197,26.0,26,26,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0,8.0,0,0.0,0.0,0.0,1.0,0.0,0.0,197.0,8.0,5.5813953488372094,1.0,1.0,0.0,0.0,0.0003367003367003367,0.03316498316498317,0,2969,1,1,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0,0
154,197,98.0,98,98,0.0,7.0,7.0,5.0,4.0,1.0,2.0,0.0,0,0,38.0,0,0.0,0.0,0.0,0.0,0.0,1.0,197.0,38.0,14.430379746835444,5.0,1.0,0.2,0.010101010101010102,0.0003356831151393085,0.03306478684122189,0,2978,1,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0
153,197,69.0,69,69,0.0,4.0,4.0,3.0,1.0,2.0,1.0,0.0,0,0,23.0,0,0.0,0.0,0.0,1.0,0.0,0.0,197.0,23.0,10.697674418604652,3.0,1.0,1.0,0.005050505050505051,0.0003359086328518643,0.03308700033590863,0,2976,1,1,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0
150,197,101.0,101,101,0.0,6.0,6.0,3.0,6.0,0.0,0.0,0.0,0,0,24.0,0,0.0,0.0,1.0,0.0,0.0,0.0,197.0,24.0,8.944099378881987,3.0,1.0,0.0,0.0,0.0003351206434316354,0.03300938337801609,0,2983,1,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1,0,0
146,197,125.0,125,125,0.0,11.0,11.0,5.0,8.0,1.0,1.0,0.0,0,197,45.0,0,0.0,0.0,0.0,1.0,0.0,0.0,197.0,45.0,14.594594594594595,5.0,1.0,0.1111111111111111,0.005050505050505051,0.0003348961821835231,0.03298727394507703,0,2985,1,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1,0,0
143,197,226.0,226,226,0.0,16.0,16.0,5.0,11.0,1.0,0.0,1.0,0,0,51.0,0,0.0,0.0,0.0,0.0,1.0,0.0,197.0,51.0,10.6993006993007,5.0,1.0,0.08333333333333333,0.0,0.00033523298692591353,0.033020449212202485,0,2982,1,1,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1,0,0
151,197,179.0,179,179,0.0,13.0,13.0,4.0,10.0,1.0,0.0,0.0,0,0,44.0,0,0.0,0.0,0.0,0.0,0.0,1.0,197.0,44.0,11.04602510460251,4.0,1.0,0.09090909090909091,0.0,0.00033647375504710633,0.033142664872139974,0,2971,1,1,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1,0,0
152,197,71.0,71,71,0.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0,197,197,40.0,1,1.0,1.0,0.0,0.0,0.0,0.0,197.0,40.0,18.3206106870229,4.0,1.0,0.3333333333333333,0.0,0.000335795836131632,0.03307588985896575,0,2977,1,1,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,1,1,1
147,197,0.0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,5.0,0,0.0,0.0,0.0,1.0,0.0,0.0,197.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0003360215053763441,0.0330981182795699,0,2975,1,1,1,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0
144,197,214.0,214,214,0.0,13.0,13.0,5.0,7.0,0.0,1.0,1.0,0,394,42.0,0,0.0,0.0,0.0,0.0,0.0,1.0,197.0,42.0,9.197080291970803,5.0,1.0,0.0,0.005050505050505051,0.00033523298692591353,0.033020449212202485,0,2982,1,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,1,0,0
155,197,72.0,72,72,0.0,7.0,7.0,5.0,3.0,1.0,2.0,0.0,0,197,36.0,0,0.0,0.0,0.0,1.0,0.0,0.0,197.0,36.0,16.363636363636363,5.0,1.0,0.25,0.010101010101010102,0.0003361344537815126,0.033109243697478995,0,2974,1,1,1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
148,197,126.0,126,126,0.0,13.0,13.0,5.0,6.0,2.0,0.0,1.0,0,394,41.0,0,0.0,0.0,0.0,0.0,0.0,1.0,197.0,41.0,13.225806451612902,5.0,1.0,0.2857142857142857,0.0,0.00033400133600534405,0.03289913159652639,0,2993,1,1,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1,0,0
160,196,237.0,237,237,0.0,14.0,14.0,5.0,9.0,2.0,0.0,0.0,0,0,48.0,0,0.0,1.0,0.0,0.0,0.0,0.0,196.0,48.0,9.696969696969697,5.0,1.0,0.2,0.0,0.00033875338753387534,0.03319783197831978,0,2951,1,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,1,0,0
158,196,62.0,62,62,0.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,0,196,21.0,0,0.0,1.0,0.0,0.0,0.0,0.0,196.0,21.0,10.327868852459018,3.0,1.0,0.5,0.005076142131979695,0.00033886818027787193,0.03320908166723145,0,2950,1,1,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,1,0,0
